hhidde,Sample,Sample_Type,read_count,r1_average_quality,r2_average_quality,unfiltered_closed_otu_count,filtered_closed_otu_count,unfiltered_de_novo_otu_count,filtered_de_novo_otu_count,unfiltered_swarm_otu_count,filtered_swarm_otu_count,sex,age
241,Z08151703,Chicken,3549,32.5,26.9,37,35,,,,,Female,Adult
242,H08143914,Human,90985,32.1,26.3,1264,386,7548,1608,3323,1107,,
242,Z08151684,Cooking Area - Inside,25575,30.6,25.3,,,2033,1078,1756,1013,,
242,Z08151686,Cow,231676,30.2,26.9,738,425,20779,3247,9795,2277,Female,6
243,H08143921,Human,87253,30.6,26.4,508,311,4615,1241,3580,1020,Female,42.84189
243,Z08151671,Cooking Area - Inside,152037,31.4,26.4,2068,506,11814,1893,8242,1425,,
243,Z08151672,Living Space,29201,33.1,26.5,,,6146,3011,2910,1510,,
244,H08143719,Human,49511,31.4,27.1,908,441,5661,1949,2764,1211,Male,16.3614
244,H08143720,Human,17481,30.6,26.2,,,2248,1708,1934,1428,Female,47.17865
244,Z08151841,Cow,27096,33.2,27.2,,,6784,3256,3960,2447,Female,6
246,H08143922,Human,14662,32.5,27.8,845,433,2201,1392,1724,1261,Female,17.67556
246,Z08151688,Cow,114132,30,27.1,377,298,11293,2796,8469,2185,Male,2
247,H08143723,Human,33915,33.2,26.4,975,440,4514,1542,2721,1018,Male,32.03286
248,H08143718,Human,68235,30.5,27.3,1126,512,7591,2233,3406,1410,Female,42.44764
248,Z08151835,Cow,89442,30.1,27.2,372,336,12711,3321,9116,2776,Female,5
249,H08143913,Human,38446,32.8,27.8,929,270,2542,866,1718,753,Female,46.68583
249,Z08151692,Cow,76498,30.2,26.3,307,266,8919,2713,6362,2111,Female,4
249,Z08151694,Cooking Area - Inside,321987,31.1,26.1,2858,435,20180,1997,11353,1311,,
250,H08143712,Human,167798,30.9,27,737,318,7596,1479,5324,1121,,
250,Z08152268,Cow,114711,31.1,27,552,346,13419,2995,12448,2445,Male,3
